Item,Links,Genre
Little Simz,,
LIZZ,,
Maliibu Miitch,,
MariaLynn,,
Mavi Phoenix,,
MC Yallah,,
Melii,,
MISO,,
Missy Elliott,,
Moonchild Sanelly,,
Nadia Rose,,
Nathy Peluso,,
Nicki Minaj,,
Paigey Cakey,,
Princess Nokia,,
Queen Key,,
Queen Latifah,,
REI AMI,,
Remy Ma,,
Rico Nasty,,
Sampa The Great,,
Sasha Go Hard,,
Sho Madjozi,,
Shygirl,,
S?MADAMANTINA,,
Stefflon Don,,
Syd,,
The Internet,,
the Unlikely Boy,,
Tierra Whack,,
Tomasa Del Real,,
Tommy Genesis,,
Toni Romiti,,
Treee Safari,,
Varg²™,,
Young M.A,,
A camp,,
Agnes Obel,,
Air,,
Alexandra Savior,,
Alice Boman,,
Alice Merton,,
Alice Phoebe Lou,,
Alin Coen,,
Amy Macdonald,,
Amy Winehouse,,
Amyl and the Sniffers,,
Angel Olsen,,
Angus & Julia Stone,,
Ani DiFranco,,
Anna Depenbusch,,
Arlo Parks,,
Aseul (아슬),,
Au Pairs,,
Automatic,,
Beach House,,
Bebe,,
Bechamel,,
Bernache,,
Big Baby Driver,,
Big Brave,https://bigbrave.bandcamp.com/,
Big Thief,,
Biig Piig,,
Bikini Kill,,
Billie Marten,,
Bis Eine Heult,http://www.biseineheult.at/,
Bo Ningen,,
Bonnie Tyler,,
Brutus,https://wearebrutus.bandcamp.com/,
Charlotte Brandi,https://www.charlottebrandi.com/,
Chelsea Wolfe,,
CocoRosie,,
Cocteau Twins,,
Courtney Barnett,,
Crumb,,
Cyndi Lauper,,
Daughter,,
Dean Blunt,,
Delta 5,,
Diamond Thug,,
Dives,,
Dry Cleaning,,
Ellie Goulding,,
Emma Ruth Rundle,,
eskimeaux,https://www.last.fm/music/eskimeaux,
Ex:Re,,
Exploded View,,
First Aid Kit,,
Frankie Cosmos,,
Garbage,,
Girl in red,https://girlinred.bandcamp.com/,
Guano Apes,,
Halestorm,,
Hole,,
Holly Throsby,,
HTRK,,
Hydrogen Sea,https://hydrogensea.bandcamp.com/,
IAN SWEET,https://iansweetmusic.bandcamp.com/,
Jacqueline Taieb,,
Jealous,https://jealousband.bandcamp.com/,
Jennylee,,
Jessica Hernandez & The Deltas,https://soundcloud.com/jessicahernandezdeltas,
Jessica Pratt,https://jessicapratt.bandcamp.com/,
Joan Jett,,
Joanne Robertson,,
Joy Denalane,,
Julia Jacklin,https://www.juliajacklin.com/,
Juniore,,
Kimbra,,
L.A. Witch,https://lawitches.bandcamp.com/,
L7,,
La Femme,,
Laura Carbone,https://lauracarbone.bandcamp.com/,
Lilla Clara,,
Los Bitchos,,
LP,,
Lucia,,
Lucy Dacus,https://lucydacus.bandcamp.com/,
Lush,,
Marie Fisker,,
Marriages,https://www.instagram.com/marriagesband/,
Mary Ocher,,
Mazzy Star,,
Melanie De Biasio,,
Melissa Etheridge,,
Men I Trust,https://menitrust.bandcamp.com/,
Missing Persons,https://missingpersonsdalebozzio.bandcamp.com/,
Mø,,
Ndidi O,,
No Doubt,,
Noga Erez,,
North Dakota,,
Nouvelle Vague,,
Oh Ji eun (오지은),,
Over the Rhine,http://overtherhine.com/,
Patti Smith,,
Pip Blom,,
PJ Harvey,,
Pleasure Symbols,,
